Observation_No,Species,Grass,Neighbours,SD,Treatment,FID,Immediate_flight
101,Laughing dove,FALSE,None,11,control,2,FALSE
102,Laughing dove,FALSE,None,11,control,0.5,FALSE
103,Common myna,FALSE,G,12.1,control,4,FALSE
104,Common myna,TRUE,None,11.9,control,6.6,FALSE
105,Laughing dove,FALSE,None,9.7,angle,NA,FALSE
106,Laughing dove,FALSE,None,9.9,angle,NA,FALSE
107,White wagtail,TRUE,None,10,control,6,TRUE
108,Common myna,TRUE,None,13.8,angle,4.4,FALSE
109,Common myna,TRUE,None,7.4,control,5,FALSE
110,Common myna,TRUE,None,10.6,angle,2.5,FALSE
111,Common myna,TRUE,None,8.2,control,7.6,TRUE
112,Common myna,TRUE,None,12.8,control,4.5,FALSE
113,Common myna,TRUE,None,12,angle,1.9,FALSE
114,Monk parakeet,TRUE,None,12,control,2,FALSE
115,Common myna,TRUE,None,11.1,control,4.4,FALSE
116,Eurasian hoopoe,TRUE,None,14.5,angle,3.7,FALSE
117,Common myna,FALSE,None,11,angle,2,FALSE
118,Common myna,TRUE,None,9.4,angle,4.1,FALSE
119,Eurasian hoopoe,FALSE,None,9.4,control,2.4,FALSE
120,Common myna,TRUE,None,11.7,angle,1.8,FALSE
121,Monk parakeet,TRUE,P,10.4,angle,1.8,FALSE
122,White wagtail,TRUE,None,11.9,angle,7.5,TRUE
123,Monk parakeet,TRUE,P,12,control,3,FALSE
124,Common myna,TRUE,None,9.8,angle,NA,FALSE
125,Common myna,FALSE,None,9.7,control,4.9,FALSE
126,Common myna,FALSE,None,11.7,control,4.2,FALSE
127,Eurasian hoopoe,TRUE,None,14.8,control,4.4,FALSE
128,Eurasian hoopoe,TRUE,None,10.7,angle,2.5,FALSE
229,Monk parakeet,TRUE,G,14,angle,3,FALSE
230,Monk parakeet,TRUE,G,12,control,4.5,FALSE
231,Monk parakeet,TRUE,G,12,control,1.5,FALSE
232,Eurasian hoopoe,TRUE,None,11,angle,3.5,TRUE
233,Eurasian hoopoe,TRUE,None,13,control,8.2,FALSE
234,Eurasian hoopoe,TRUE,None,12,control,4,FALSE
235,Monk parakeet,TRUE,G,10.2,angle,3.3,FALSE
236,Monk parakeet,TRUE,G,12.5,control,2,TRUE
237,Common myna,TRUE,None,10,control,4,FALSE
238,Monk parakeet,TRUE,G,9.2,angle,1.5,FALSE
239,Eurasian hoopoe,TRUE,None,12,control,5.1,FALSE
240,Monk parakeet,TRUE,G,10,control,1,TRUE
241,Monk parakeet,TRUE,G,10.8,angle,3,FALSE
242,Monk parakeet,TRUE,None,11.8,control,3,FALSE
243,Monk parakeet,TRUE,G,11.3,control,2.5,FALSE
244,Common myna,TRUE,None,8.6,angle,3.6,FALSE
